,Method,Min/Max,Rep,Question,Norm_MSE,Det,MSE,Hitrate,Prob. Sel,Mu_1,Mu_2,Mu_3,Mu_4,Mu_5,Mu_6,True_1,True_2,True_3,True_4,True_5,True_6
24,0.0,0.0,2.0,8.0,0.019076292086774572,0.021283442266721932,0.19110815185557548,0.8818681318681318,0.92,1.4410282629089872,0.8950471148758863,2.080281875350199,0.929848055289795,0.4383907224971584,0.9660938494580906,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
25,0.0,0.0,2.0,9.0,0.011744286804604,0.013898232884240283,0.14771848114200195,0.8818681318681318,0.92,1.2443624046756956,0.7703831519365618,2.2593903986919748,1.1439699899525129,0.6197186192203183,0.7798325024434605,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
26,0.0,0.0,2.0,10.0,0.015220260067700943,0.009483358541090395,0.1545935934660154,0.8818681318681318,0.92,1.0394977920353672,0.6201162729683377,2.3159476237923515,1.283369537196438,0.40495297617038206,0.5885536197791379,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
27,0.0,0.0,2.0,11.0,0.014207349032696317,0.006641342268912738,0.16243189995330629,0.8818681318681318,0.92,1.2211401096190566,0.39169019568983365,2.219192606062216,1.4299756286472922,0.3925529239837298,0.8129505529883638,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
28,0.0,0.0,2.0,12.0,0.021812723421376315,0.00496137225532438,0.22599996547995194,0.8818681318681318,0.92,1.135535902137149,0.21103587848666158,2.3287740707932434,1.2921777762086528,0.3948488529312243,0.9861418903216206,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
29,0.0,0.0,2.0,13.0,0.024558665464726997,0.0036866794266608802,0.2627201502748717,0.8818681318681318,0.92,1.2872167999700297,0.03104903610121945,2.2505415400619126,1.2708790010462874,0.5398303693062521,1.1349122930173368,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
30,0.0,0.0,2.0,14.0,0.035573074633541986,0.0029267408614970774,0.33778832830936784,0.8818681318681318,0.92,1.4358881608305363,-0.15429636382427084,2.2258829612261395,1.0804274589830511,0.4950303956471191,1.1021101238237845,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
31,0.0,0.0,2.0,15.0,0.027060041097651272,0.002172746731120549,0.29885651047974165,0.8818681318681318,0.92,1.3655975448947715,0.009376516993506362,2.37640434403769,1.1149917172633075,0.7126778452728814,1.0057001362065954,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
32,0.0,0.0,2.0,16.0,0.026633046372855764,0.0016340670917637885,0.3117833598879169,0.8818681318681318,0.92,1.509638841676384,0.13821961621456563,2.4110882554706428,0.9848835402830746,0.8640217682561966,0.888476207549677,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
33,0.0,0.0,3.0,1.0,0.025156520968446918,0.5759238594088948,0.159938437022864,0.8653846153846154,0.92,1.265855894734693,1.265855894734693,0.734144105265307,1.265855894734693,0.734144105265307,0.734144105265307,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
34,0.0,0.0,3.0,2.0,0.019984235230136285,0.3646293951325867,0.13217782472885434,0.8653846153846154,0.92,1.5687086495357723,0.9630031399336135,1.0369968600663864,1.265855894734693,0.4312913504642276,0.734144105265307,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
35,0.0,0.0,3.0,3.0,0.016255001771543275,0.21687216620785166,0.11445928190796012,0.8653846153846154,0.92,1.28664686779307,0.7802451587858801,1.2197548412141197,1.5747893777596105,0.17200976773679455,0.9665539867105248,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
36,0.0,0.0,3.0,4.0,0.020370504153621214,0.12813210495642216,0.15149647097261323,0.8653846153846154,0.92,1.4810768531738,0.4497416939898713,1.0124945540087569,1.8455774438831396,0.4454006045269534,0.7657088504174785,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
37,0.0,0.0,3.0,5.0,0.03191330707772678,0.07940460558019129,0.24285223129584646,0.8653846153846154,0.92,1.2983819199949815,0.25198012240746603,0.7538075572157672,2.062485704512532,0.6238027893159583,1.0095419065532942,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
38,0.0,0.0,3.0,6.0,0.025509021526072484,0.048682071623760446,0.2097204929367711,0.8653846153846154,0.92,1.0377228512823888,0.4429545922540188,0.9685256573599187,2.3157983377689284,0.4992265448545102,0.7357720164802344,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
39,0.0,0.0,3.0,7.0,0.011297950567316186,0.03086208691522722,0.13048546391249324,0.8653846153846154,0.92,1.2100107236779314,0.6156034110859927,1.2568469763556844,2.184759447850669,0.7921165239794693,0.5717784598101021,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
